Keyword Stats 2022-05-28 at 09_02_52
2020年5月1日 - 2022年4月30日
Keyword	Currency	Avg. monthly searches	三个月变化	年同比变化	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: May 2020	Searches: Jun 2020	Searches: Jul 2020	Searches: Aug 2020	Searches: Sep 2020	Searches: Oct 2020	Searches: Nov 2020	Searches: Dec 2020	Searches: Jan 2021	Searches: Feb 2021	Searches: Mar 2021	Searches: Apr 2021	Searches: May 2021	Searches: Jun 2021	Searches: Jul 2021	Searches: Aug 2021	Searches: Sep 2021	Searches: Oct 2021	Searches: Nov 2021	Searches: Dec 2021	Searches: Jan 2022	Searches: Feb 2022	Searches: Mar 2022	Searches: Apr 2022	Concept: Computer	Concept: Company	Concept: Other Brands	Concept: Non-Brands	Concept: Device	Concept: Others	Concept: Element
capcut on pc	SGD	390	0%	177%	低	1	0.68	1.15					Y	0	0	0	10	20	20	30	70	110	140	210	260	480	390	390	390	390	390	720	1300	880	720	880	720	computer			Non-Brands			download for pc
download video capcut link	SGD	10	∞	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	10				Non-Brands			
update capcut	SGD	40	-25%	200%	低	9	0.77	1.25					Y	0	0	0	0	0	10	10	0	0	10	0	10	590	70	20	20	10	40	10	10	10	40	50	30				Non-Brands			
capcut update	SGD	70	-21%	1000%	低	3	0.14	0.77					Y	0	0	0	0	10	10	10	10	10	10	10	10	390	50	70	30	50	170	50	50	40	140	260	110				Non-Brands			
capcut for pc download	SGD	40	0%	-43%	低	6							Y	0	0	0	0	10	10	20	30	50	70	140	70	40	50	70	20	20	20	50	40	40	40	30	40				Non-Brands	windows		download for pc
capcut website	SGD	260	23%	50%	低	6	0.48	1.86					Y	0	0	20	10	20	50	90	110	140	260	390	320	480	480	390	390	320	390	390	480	480	390	390	480				Non-Brands			
cap cut app download for pc	SGD	50	25%	-76%	低	7	0.49	1.45					Y	0	0	10	10	10	30	50	50	70	90	140	210	140	110	70	70	50	40	40	30	50	40	50	50				Non-Brands			download for pc
capcut apk download for android	SGD	10	-50%	0%	低	20	0.07	1.68					Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	20	10	10	10	10	20	50	10				Non-Brands	android	apk	
cap cut for pc	SGD	70	0%	0%	低	1							Y	0	0	0	0	10	10	10	40	70	90	140	110	110	110	110	90	90	110	90	110	170	110	110	110				Non-Brands			download for pc
capcut chinese app download	SGD	10	50%	200%	低	10	9.89	16.20					Y	0	0	0	10	10	10	10	10	20	10	20	10	30	40	20	10	20	10	10	10	10	20	40	30				Non-Brands	android	chinese	
capcut edit	SGD	480	171%	171%	低	10	0.64	1.47					Y	0	0	10	40	40	70	140	210	260	390	480	590	880	880	880	590	390	1000	720	720	720	590	720	1600				Non-Brands		"video editing, video editor"	
3d effect capcut	SGD	210	-21%	∞	低	2							Y	0	0	0	0	0	0	0	0	0	0	0	0	1900	880	390	210	210	590	140	140	210	140	110	110			zoom				
capcut template	SGD	2900	511%	494900%	低	5	0.64	1.40					Y	0	0	0	0	0	0	0	0	10	10	10	10	50	170	140	210	140	170	320	1300	1600	8100	12100	49500				Non-Brands		2021	
capcut android	SGD	40	0%	133%	低	7	0.19	1.68					Y	0	0	0	0	10	20	10	20	30	30	30	30	50	70	70	50	40	90	50	50	40	70	70	70				Non-Brands	android		
capcut mac	SGD	170	50%	243%	低	2	0.65	1.55					Y	0	0	0	10	20	30	30	50	70	70	110	140	170	210	170	210	210	210	210	210	390	320	480	480				Non-Brands	mac		
cap cut online	SGD	90	-72%	29%	低	25	0.51	1.10					Y	0	0	10	10	10	20	20	40	30	20	70	70	70	70	70	50	50	70	110	390	480	320	90	90				Non-Brands			
capcut desktop	SGD	110	23%	357%	低	1	0.88	2.77					Y	0	0	10	10	10	10	10	20	30	30	50	70	140	140	170	210	170	210	170	140	210	260	260	320	desktop			Non-Brands			download for pc
capcut free download for pc	SGD	20	-50%	-67%	低	9							Y	0	0	0	10	10	10	20	20	40	40	40	30	50	40	40	20	20	10	20	30	30	20	20	10				Non-Brands			download for pc
capcut download for laptop	SGD	20	0%	-80%	低	14							Y	0	0	0	10	10	10	10	30	40	30	30	50	90	90	70	50	10	10	10	10	20	10	10	10	laptop			Non-Brands			
background capcut	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	20	10	20				Non-Brands			
edit capcut	SGD	40	240%	467%	低	12	0.63	1.70					Y	0	0	0	0	10	10	10	10	20	20	30	30	50	40	50	50	30	40	70	70	50	50	50	170				Non-Brands			
capcut download free	SGD	70	191%	967%	低	13	0.22	1.16					Y	0	0	0	0	0	10	0	10	10	10	20	30	70	110	110	70	140	90	90	140	170	110	210	320				Non-Brands	android	apk	
capcut for android	SGD	30	25%	67%	低	13	0.17	1.86					Y	0	0	0	0	10	10	10	20	20	20	30	30	30	40	70	30	20	40	30	40	30	40	40	50				Non-Brands	android	2021	
bluestacks capcut	SGD	140	0%	860%	低	4	0.08	0.12					Y	0	0	0	0	0	0	10	10	50	90	70	50	50	50	50	110	140	260	260	320	480	480	480	480			bluestacks		android		
capcut ios	SGD	30	25%	67%	低	5							Y	0	10	10	10	10	10	10	10	10	20	20	30	50	70	40	30	40	40	40	50	40	40	50	50				Non-Brands	ios		
download capcut pc	SGD	10	0%	100%	低	8							Y	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	20	10	10	10	20	10	20	computer			Non-Brands			download for pc
capcut download for pc	SGD	50	22%	57%	低	7	0.63	1.19					Y	0	0	0	0	10	10	10	20	50	40	50	70	40	50	50	30	30	40	70	110	50	90	110	110				Non-Brands	windows		download for pc
cap cut windows	SGD	10	0%	100%	低	1							Y	0	0	10	10	10	10	10	10	10	10	10	10	20	20	10	30	30	10	10	10	20	20	10	20				Non-Brands	windows		
capcut apk for pc	SGD	10	0%	-50%	低	5							Y	0	0	0	0	0	10	0	10	10	10	20	20	10	10	20	20	10	10	20	10	10	10	10	10				Non-Brands	"android, windows"	apk	download for pc
capcut new version	SGD	10	67%	400%	低	9	0.07	0.18					Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	20	20	10	10	10	30	40	50				Non-Brands	android	apk	
viamaker app	SGD	50	-25%	-25%	低	30	0.90	3.16					Y	90	140	70	30	30	50	90	70	70	70	40	40	70	70	70	70	40	50	40	50	30	40	40	30				Non-Brands		video editing	
capcut video editor for pc	SGD	90	129%	357%	低	31	0.67	2.26					Y	0	0	0	10	10	20	20	50	70	50	70	70	110	70	30	70	90	110	140	170	170	140	210	320				Non-Brands	windows	"video editing, video editor"	download for pc
capcut online editor	SGD	70	55%	21%	中	42	0.56	1.85					Y	0	0	0	0	10	10	10	50	70	90	110	140	110	110	110	70	90	90	110	90	70	110	210	170				Non-Brands		"video editing, video editor"	
capcut laptop	SGD	30	40%	133%	低	13	8.90	30.15					Y	0	0	0	0	0	10	10	10	10	10	30	30	70	50	40	30	30	40	40	50	40	50	50	70	laptop			Non-Brands			
capcut 3d zoom apk	SGD	10	0%	∞	低	5							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	10	10	0	10	10	20	20	20			zoom		android	apk	
viamaker app download	SGD	10	0%	0%	低	31	0.61	1.89					Y	10	40	20	10	20	10	10	20	10	20	10	10	20	10	20	10	10	10	10	10	10	10	10	10				Non-Brands	android		
cap cut download pc	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	10	0	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10				Non-Brands			download for pc
capcut play store	SGD	20	100%	100%	低	2							Y	0	0	0	0	0	10	10	10	10	10	10	10	10	30	40	30	10	30	40	40	30	10	20	20				Non-Brands	android	app store	
capcut for windows 10	SGD	140	50%	1100%	低	3	0.66	1.30					Y	0	0	0	10	10	10	10	10	30	30	40	40	70	70	70	50	90	90	170	390	480	320	590	480				Non-Brands	windows		download for pc
capcut 2021	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	10	10	0	10	30	10	20	10	10	20	10	90	10	10	10	10				Non-Brands		2021	
capcut video	SGD	70	255%	875%	低	7	0.51	1.86					Y	0	0	0	10	10	10	10	30	10	20	50	40	90	70	110	90	70	110	140	110	140	110	140	390				Non-Brands	android	"video editing, video editor"	
capcut for pc free download	SGD	20	-86%	-75%	低	10							Y	0	0	0	0	10	10	10	30	30	30	20	40	30	30	10	30	10	20	10	10	40	70	10	10				Non-Brands	windows		download for pc
cap cut logo	SGD	170	22%	50%	低	0							Y	0	0	0	0	0	0	0	90	170	170	320	260	260	260	260	260	210	260	210	210	260	320	260	390				Non-Brands			
free download capcut	SGD	10	0%	0%	中	35	0.26	0.86					Y	0	0	10	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android	apk	
capcut app download for laptop	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	10	0	10	10	10	10	10	10	10	40	20	10	10	10	10	10	10	20	10	laptop			Non-Brands			
capcut for ios	SGD	10	0%	100%	低	8							Y	0	0	0	0	0	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	20	20	20				Non-Brands	"android, ios"		
edit video capcut	SGD	10	0%	0%	中	49	0.63	1.12					Y	0	0	0	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10				Non-Brands		"video editing, video editor"	
capcut editing app	SGD	90	0%	56%	低	23	0.62	1.51					Y	0	0	0	0	20	10	30	50	50	70	90	90	140	210	140	110	110	140	110	140	110	140	110	140				Non-Brands	android	"video editing, video editor"	
capcut editor video	SGD	10	100%	100%	低	32	0.68	2.05					Y	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	20	10	10	20	10	30	20				Non-Brands		"video editing, video editor"	
login capcut	SGD	10	0%	0%	低	13							Y	0	0	0	0	0	0	0	10	0	10	0	10	0	0	10	10	10	10	10	10	10	10	10	10				Non-Brands		login	
apps like capcut	SGD	110	24%	50%	低	29	0.85	2.55					Y	0	0	0	0	20	40	50	70	70	90	170	140	170	170	210	170	90	170	140	170	170	170	170	210				Non-Brands		video editing	
download template capcut	SGD	10	450%	1000%	低	8							Y	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	10	10	10	20	20	110				Non-Brands			
capcut video editor apk	SGD	10	100%	∞	低	22	0.51	2.26					Y	0	0	0	0	0	10	10	10	10	10	10	0	10	20	10	10	10	10	10	10	10	10	10	20				Non-Brands	android	"video editing, apk, video editor"	
capcut free	SGD	90	91%	133%	低	33	0.48	1.28					Y	0	0	0	10	10	10	10	20	30	40	70	90	170	170	140	140	110	110	140	110	140	110	140	210				Non-Brands			
capcut pc windows 10	SGD	10	0%	-67%	低	6							Y	0	0	0	0	0	0	0	0	10	10	10	30	10	10	10	10	10	10	20	10	20	10	10	10				Non-Brands	windows		download for pc
capcut background	SGD	70	53%	420%	低	0							Y	0	0	0	0	0	0	0	0	0	0	70	50	110	90	140	140	110	110	140	110	170	170	170	260				Non-Brands			
capcut for pc download windows 10	SGD	30	0%	-25%	低	5							Y	0	0	0	0	0	0	0	0	10	20	20	40	40	50	90	70	40	50	50	50	50	30	10	30				Non-Brands	windows		download for pc
capcut free edit	SGD	10	1000%	1000%	低	18	0.47	1.29					Y	0	0	0	0	10	10	10	10	10	10	10	10	20	20	10	10	10	10	10	10	10	10	10	110				Non-Brands		"video editing, video editor"	
capcut windows 10	SGD	70	0%	750%	低	2	0.90	1.85					Y	0	0	0	0	10	10	10	10	10	10	10	20	140	90	140	70	30	30	70	170	210	170	210	170				Non-Brands	windows		download for pc
capcut for windows 7	SGD	10	0%	0%	低	10							Y	0	0	0	0	0	0	0	10	10	10	10	10	20	10	10	10	10	10	20	10	10	10	10	10				Non-Brands	windows		download for pc
cap cut 3d	SGD	50	-50%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	590	140	50	50	20	170	90	20	20	20	20	10				Non-Brands			
capcut link	SGD	30	80%	200%	低	3							Y	0	0	0	0	0	0	20	20	20	30	30	30	40	50	40	40	30	40	50	70	30	50	40	90				Non-Brands	android		
cara edit video guna capcut	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0				Non-Brands		video editor	
capcut download windows 10	SGD	20	150%	67%	低	5							Y	0	0	0	0	0	0	0	10	20	10	10	30	40	50	70	70	10	10	30	20	20	20	40	50				Non-Brands	windows		download for pc
capcut video downloader	SGD	10	100%	100%	低	3							Y	0	0	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	10	20	20	10	10	20				Non-Brands	android	apk	
capcut video editor download	SGD	20	133%	600%	低	24	0.48	2.21					Y	0	0	0	0	10	10	10	10	20	10	20	10	20	30	40	40	20	20	20	30	30	30	50	70				Non-Brands		"video editing, video editor"	
capcut download windows	SGD	20	-40%	200%	低	2							Y	0	0	0	0	0	0	0	0	10	10	10	10	20	20	10	10	40	30	30	40	40	50	170	30				Non-Brands	windows		download for pc
capcut template download	SGD	140	1614%	23900%	低	7	0.48	1.58					Y	0	0	0	0	0	0	0	0	0	0	0	10	10	20	40	50	40	50	50	140	140	140	260	2400				Non-Brands			
capcut hacks	SGD	90	125%	-72%	低	0							Y	0	0	0	0	0	0	0	0	0	140	320	320	210	170	140	140	70	110	70	50	70	40	30	90				Non-Brands	android	apk	
capcut app store	SGD	30	25%	400%	低	17	0.60	1.12					Y	0	0	0	0	10	10	10	10	10	10	20	10	40	40	90	70	40	50	50	50	50	40	50	50				Non-Brands		app store	
capcut for pc free download windows 10	SGD	10	0%	0%	低	0							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	30	50	40	50	30	20	10	10	10	10	10				Non-Brands	windows		download for pc
capcut free download apk	SGD	10	-100%	-100%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	0	0	10	0	0				Non-Brands	android	apk	
capcut computer	SGD	90	24%	200%	低	8	0.70	1.73					Y	0	0	0	10	10	10	20	20	40	70	70	70	210	210	170	140	110	140	140	140	140	170	170	210	computer			Non-Brands			download for pc
capcut effects	SGD	90	50%	91%	低	2							Y	0	0	0	10	10	10	10	40	30	70	90	110	110	110	170	110	140	390	140	140	170	140	110	210				Non-Brands		video editing	
cap cut download for pc	SGD	10	0%	0%	低	6							Y	0	0	10	10	10	10	20	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	windows		download for pc
capcut in pc	SGD	10	0%	0%	低	1							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands			download for pc
cap cut apk download for android	SGD	10	0%	0%	未知								Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0				Non-Brands	android	apk	
capcut download mac	SGD	70	21%	89%	低	5	0.64	1.44					Y	0	0	0	0	10	10	10	20	30	50	70	90	140	110	140	90	90	110	110	210	170	140	140	170				Non-Brands	mac		download for mac
capcut chinese version	SGD	10	0%	0%	低	2							Y	0	0	10	10	0	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	0	10	10	10				Non-Brands		chinese	
capcut iphone	SGD	20	50%	200%	低	9	1.22	2.64					Y	0	0	10	10	10	10	10	10	10	10	10	10	20	30	20	30	30	30	20	20	30	20	40	30				Non-Brands	"ios, iphone"		
viamaker apk download for android	SGD	10	-100%	-100%	未知								Y	0	0	10	10	10	10	10	10	10	10	0	10	10	10	0	0	10	0	0	0	0	10	10	0				Non-Brands	android	apk	
download video template capcut	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	10	10	10				Non-Brands			
logo cap cut	SGD	10	0%	0%	中	33							Y	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands		2021	
capcut app apk	SGD	10	0%	0%	低	10	0.04	0.36					Y	0	0	0	0	0	0	10	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android	apk	
cut cap apk	SGD	10	0%	∞	低	7							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	10	10	10	10	10	10	10				Non-Brands	android	apk	
capcut cracked apk	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10				Non-Brands	android	"apk, pro"	
capcut apk download pc	SGD	10	100%	100%	低	20							Y	0	0	0	0	0	0	10	0	0	10	10	10	10	10	10	10	0	10	10	10	10	10	10	20				Non-Brands		apk	download for pc
background for capcut	SGD	30	0%	200%	低	0							Y	0	0	0	0	0	0	0	0	0	0	20	30	40	30	50	30	50	70	70	90	70	90	90	90				Non-Brands			
capcut on laptop	SGD	20	25%	150%	低	2							Y	0	0	0	10	10	10	10	10	10	10	20	20	30	30	30	50	20	30	40	40	40	40	40	50	laptop			Non-Brands			
capcut install	SGD	20	50%	50%	低	10	0.16	0.92					Y	0	0	0	0	0	0	10	10	10	10	10	20	30	30	30	20	50	40	20	20	20	20	40	30				Non-Brands		apk	
capcut download video	SGD	10	0%	∞	低	0							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	10	10	10	10	10	10	10				Non-Brands	android	"video editing, video editor"	
link download capcut	SGD		 --	 --	未知								Y																												Non-Brands	android	apk	
capcut full apk	SGD	10	0%	0%	低	2							Y	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	10	10	10	10	10	10	10				Non-Brands	android	apk	
capcut for laptop free download	SGD	10	0%	0%	低	3							Y	0	0	0	0	0	0	10	10	10	10	10	10	20	10	10	10	10	10	0	10	10	10	10	10	laptop			Non-Brands	windows		
capcut ios download	SGD	10	100%	100%	低	6							Y	0	0	0	0	0	0	0	0	0	10	10	10	30	10	10	10	10	10	10	10	20	10	10	20				Non-Brands	"android, ios"		
capcut 3d zoom effect	SGD	50	0%	∞	低	1							Y	0	0	0	0	0	0	0	0	0	0	0	0	590	260	90	10	20	140	40	20	20	20	20	20			zoom			2021	
capcut update 2021	SGD	10	100%	∞	低	3							Y	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	20	10	70	20	30	10	10	10	20				Non-Brands		2021	
